station,reseau,trafic,arrondissement,nb_corr,lat,lon
ROME,Métro,1435310,17.0,1,48.8823012,2.3213298
LIBERTE,Métro,1195690,,1,48.864183,2.300876
MICHEL-ANGE-MOLITOR,Métro,1180095,16.0,2,48.8450092,2.26111
REPUBLIQUE,Métro,6988692,11.0,5,48.8677455,2.3629133
PONT DE NEUILLY,Métro,3678074,,1,48.8765398,2.2453851
PORTE DE SAINT-CLOUD,Métro,2576290,16.0,1,48.8377937,2.256558
PORTE DE BAGNOLET,Métro,2244934,20.0,1,48.8646027,2.407183
MAIRIE D'ISSY,Métro,2083392,,1,48.8784664,2.3372958
SAINT-GERMAIN DES PRES,Métro,1712923,6.0,1,48.8544286,2.3337071
TERNES,Métro,1703632,17.0,1,48.8783132,2.2990737
JOURDAIN,Métro,1683473,20.0,1,48.8750944,2.38933
PARMENTIER,Métro,1499805,11.0,1,48.8653571,2.3739035
SAINT-MAUR,Métro,1331250,11.0,1,48.8643964,2.3786389
LAMARCK-CAULAINCOURT,Métro,1283881,18.0,1,48.8897556,2.3387677
SAINT-MARCEL,Métro,1211679,13.0,1,48.8382809,2.3608339
CRETEIL-L'ECHAT,Métro,1209224,,1,,
SAINT-FARGEAU,Métro,339164,8.0,1,48.8715218,2.4043104
DENFERT-ROCHEREAU-RER,RER,2351759,14.0,1,48.8329934,2.3332221
MIRABEAU,Métro,724167,16.0,1,48.8468116,2.2716976
MARNE-LA-VALLEE-CHESSY,RER,2192200,,1,,
GENTILLY,RER,1248514,,1,48.8161927,2.3406304
BLANCHE,Métro,1680852,9.0,1,48.8835274,2.3335853
SENTIER,Métro,1601006,3.0,1,48.867518,2.3465656
MARX DORMOY,Métro,1544166,18.0,1,48.8905061,2.3599967
LA FOURCHE,Métro,1499508,8.0,1,48.886971,2.3258228
BOURSE,Métro,1417882,2.0,1,48.8686539,2.3414383
CORENTIN CARIOU,Métro,1329810,19.0,1,48.8947282,2.3823046
BUZENVAL,Métro,1080500,20.0,1,48.8518248,2.4013274
MAISON BLANCHE,Métro,955254,13.0,1,48.8214836,2.3588859
MOUTON-DUVERNET,Métro,870679,14.0,1,48.8312786,2.3298657
PIERRE CURIE,Métro,780043,,1,48.846432,2.3461477
SAINT-GEORGES,Métro,523670,9.0,1,48.8784466,2.3374748
LA DEFENSE-RER,RER,16349130,,1,,
MASSY-PALAISEAU,RER,5163200,,1,48.7110058,2.1630627
LE VESINET-LE PECQ,RER,1156100,,1,,
PALAISEAU-VILLEBON,RER,444921,,1,,
VILLEJUIF-PAUL VAILLANT-COUTURIER,Métro,1382850,,1,,
JAVEL-ANDRE CITROEN,Métro,1331833,15.0,1,48.8461781,2.2782825
CAMPO-FORMIO,Métro,664119,13.0,1,48.8351162,2.3582026
LUXEMBOURG,RER,2916819,5.0,1,48.8454719,2.339808
NATION-RER,RER,2636667,12.0,1,,
LOZERE,RER,371808,,1,48.8526538,2.3430082
DENFERT-ROCHEREAU,Métro,1818730,14.0,2,48.8342649,2.3326427
MALAKOFF-PLATEAU DE VANVES,Métro,1581749,,1,,
PORTE DE CHAMPERRET,Métro,1576691,17.0,1,48.8858342,2.2931032
MONTPARNASSE-BIENVENUE,Métro,13783944,14.0,4,48.8421022,2.3202714
RAMBUTEAU,Métro,1389112,3.0,1,48.8617648,2.3537854
LES SABLONS,Métro,2965575,,1,48.864449,2.2825423
PORTE DE LA CHAPELLE,Métro,1276901,18.0,1,48.8977035,2.3594563
TUILERIES,Métro,1239066,1.0,1,48.8645194,2.3296312
WAGRAM,Métro,1231276,17.0,1,48.8840526,2.3037389
NOTRE-DAME-DES-CHAMPS,Métro,996587,6.0,1,48.8446836,2.3288039
GARE DE LYON,Métro,22232810,12.0,3,48.8443818,2.3748001
GARE DE L'EST,Métro,11715190,10.0,3,48.8770979,2.3594905
SAINT-MANDE-TOURELLE,Métro,3487584,,1,48.8464372,2.4184429
MAIRIE DE MONTROUGE,Métro,3456791,,1,48.8533666,2.3434905
MARCADET-POISSONNIERS,Métro,3169019,18.0,2,48.8914837,2.3497296
COUR SAINT-EMILION,Métro,2792734,12.0,1,48.8335432,2.3859654
INVALIDES,Métro,2678838,7.0,2,48.8601723,2.314497
PERE LACHAISE,Métro,2503028,20.0,2,48.8611297,2.3940087
ODEON,Métro,2412888,6.0,2,48.8523043,2.3393706
FILLES DU CALVAIRE,Métro,784137,3.0,1,48.8633194,2.3666323
DUROC,Métro,1972711,7.0,2,48.8468433,2.3166286
DANUBE,Métro,266623,19.0,1,48.8819488,2.393338
CHEVALERET,Métro,1923876,13.0,1,48.83495,2.3681023
NOISY-LE-GRAND-MONT D'EST,RER,4492037,,1,,
PORTE DE CHARENTON,Métro,1146232,12.0,1,48.8322315,2.3990408
EXELMANS,Métro,1055609,16.0,1,48.8430044,2.2600472
